Mod:Item:MetaData, Localized Name
industrialupgrade:moremachine3:17, §eУлучшенный механический штамп
industrialupgrade:moremachine3:18, §eПродвинутый механический штамп
industrialupgrade:moremachine3:19, §eСовершенный механический штамп
industrialupgrade:molecular:0, Молекулярный преобразователь
industrialupgrade:gen_sunnarium_plate:0, Производитель соларитовых пластин
industrialupgrade:per_chamber:0, Совершенная реакторная камера
ic2:resource:0, Базальт
ic2:resource:1, Медная руда
ic2:resource:2, Свинцовая руда
ic2:resource:3, Оловянная руда
ic2:resource:4, Урановая руда
ic2:resource:5, Бронзовый блок
ic2:resource:6, Медный блок
ic2:resource:7, Свинцовый блок
ic2:resource:8, Стальной блок
ic2:resource:9, Оловянный блок
ic2:resource:10, Урановый блок
ic2:resource:11, Укреплённый камень
ic2:resource:12, Базовый корпус машины
ic2:resource:13, Улучшенный корпус машины
ic2:resource:14, Реакторный корпус
ic2:resource:15, Серебряный блок
ic2:leaves, ic2.leaves.name
ic2:rubber_wood, ic2.rubber_wood.name
ic2:sapling, ic2.sapling.rubber.name
ic2:scaffold:0, Леса
ic2:scaffold:1, Укреплённые леса
ic2:scaffold:2, Железные леса
ic2:scaffold:3, Укреплённые железные леса
ic2:fence:0, Железный забор
ic2:sheet:0, Латексный лист
ic2:sheet:1, Резиновый лист
ic2:sheet:2, Шерстяной лист
ic2:glass:0, Укреплённое стекло
ic2:foam:0, Строительная пена
ic2:foam:1, Укреплённая строительная пена
ic2:wall:0, Чёрный пенобетон
ic2:wall:1, Синий пенобетон
ic2:wall:2, Коричневый пенобетон
ic2:wall:3, Бирюзовый пенобетон
ic2:wall:4, Серый пенобетон
ic2:wall:5, Зелёный пенобетон
ic2:wall:6, Голубой пенобетон
ic2:wall:7, Светло-серый пенобетон
ic2:wall:8, Лаймовый пенобетон
ic2:wall:9, Сиреневый пенобетон
ic2:wall:10, Оранжевый пенобетон
ic2:wall:11, Розовый пенобетон
ic2:wall:12, Фиолетовый пенобетон
ic2:wall:13, Красный пенобетон
ic2:wall:14, Белый пенобетон
ic2:wall:15, Жёлтый пенобетон
ic2:mining_pipe:0, Буровая труба
ic2:reinforced_door, ic2.reinforced_door.name
ic2:refractory_bricks, ic2.refractory_bricks.name
ic2:uu_matter, ic2.uu_matter.name
ic2:construction_foam, ic2.construction_foam.name
ic2:coolant, ic2.coolant.name
ic2:creosote, ic2.creosote.name
ic2:hot_coolant, ic2.hot_coolant.name
ic2:pahoehoe_lava, ic2.pahoehoe_lava.name
ic2:biomass, ic2.biomass.name
ic2:biogas, ic2.biogas.name
ic2:distilled_water, ic2.distilled_water.name
ic2:superheated_steam, ic2.superheated_steam.name
ic2:steam, ic2.steam.name
ic2:hot_water, ic2.hot_water.name
ic2:weed_ex, ic2.weed_ex.name
ic2:air, ic2.air.name
ic2:hydrogen, ic2.hydrogen.name
ic2:oxygen, ic2.oxygen.name
ic2:heavy_water, ic2.heavy_water.name
ic2:milk, ic2.milk.name
ic2:advanced_batpack, ic2.advanced_batpack.name
ic2:alloy_chestplate, ic2.alloy_chestplate.name
ic2:batpack, ic2.batpack.name
ic2:bronze_boots, ic2.bronze_boots.name
ic2:bronze_chestplate, ic2.bronze_chestplate.name
ic2:bronze_helmet, ic2.bronze_helmet.name
ic2:bronze_leggings, ic2.bronze_leggings.name
ic2:cf_pack, ic2.cf_pack.name
ic2:energy_pack, ic2.energy_pack.name
ic2:hazmat_chestplate, ic2.hazmat_chestplate.name
ic2:hazmat_helmet, ic2.hazmat_helmet.name
ic2:hazmat_leggings, ic2.hazmat_leggings.name
ic2:jetpack, ic2.jetpack.name
ic2:jetpack_electric, ic2.jetpack_electric.name
ic2:lappack, ic2.lappack.name
ic2:nano_boots, ic2.nano_boots.name
ic2:nano_chestplate, ic2.nano_chestplate.name
ic2:nano_helmet, ic2.nano_helmet.name
ic2:nano_leggings, ic2.nano_leggings.name
ic2:nightvision_goggles, ic2.nightvision_goggles.name
ic2:quantum_boots, ic2.quantum_boots.name
ic2:quantum_chestplate, ic2.quantum_chestplate.name
ic2:quantum_helmet, ic2.quantum_helmet.name
ic2:quantum_leggings, ic2.quantum_leggings.name
ic2:rubber_boots, ic2.rubber_boots.name
ic2:solar_helmet, ic2.solar_helmet.name
ic2:static_boots, ic2.static_boots.name
ic2:boat:0, Повреждённая резиновая шлюпка
ic2:boat:1, Резиновая шлюпка
ic2:boat:2, Углепластиковое каноэ
ic2:boat:3, Электролодка
ic2:barrel, ic2.barrel.name
ic2:mug:0, Каменная кружка
ic2:mug:1, Холодный кофе
ic2:mug:2, Тёмный кофе
ic2:mug:3, Кофе
ic2:booze_mug, ic2.booze_mug.name
ic2:crushed:0, Измельчённая медная руда
ic2:crushed:1, Измельчённая золотая руда
ic2:crushed:2, Измельчённая железная руда
ic2:crushed:3, Измельчённая свинцовая руда
ic2:crushed:4, Измельчённая серебряная руда
ic2:crushed:5, Измельчённая оловянная руда
ic2:crushed:6, Измельчённая урановая руда
ic2:purified:0, Очищенная измельчённая медная руда
ic2:purified:1, Очищенная измельчённая золотая руда
ic2:purified:2, Очищенная измельчённая железная руда
ic2:purified:3, Очищенная измельчённая свинцовая руда
ic2:purified:4, Очищенная измельчённая серебряная руда
ic2:purified:5, Очищенная измельчённая оловянная руда
ic2:purified:6, Очищенная измельчённая урановая руда
ic2:dust:0, Бронзовая пыль
ic2:dust:1, Глиняная пыль
ic2:dust:2, Угольная пыль
ic2:dust:3, Гидратированная угольная пыль
ic2:dust:4, Медная пыль
ic2:dust:5, Алмазная пыль
ic2:dust:6, Энергетическая пыль
ic2:dust:7, Золотая пыль
ic2:dust:8, Железная пыль
ic2:dust:9, Лазуритовая пыль
ic2:dust:10, Свинцовая пыль
ic2:dust:11, Литиевая пыль
ic2:dust:12, Обсидиановая пыль
ic2:dust:13, Диоксид кремния
ic2:dust:14, Серебряная пыль
ic2:dust:15, Каменная пыль
ic2:dust:16, Серная пыль
ic2:dust:17, Оловянная пыль
ic2:dust:18, Небольшая кучка бронзовой пыли
ic2:dust:19, Небольшая кучка медной пыли
ic2:dust:20, Небольшая кучка золотой пыли
ic2:dust:21, Небольшая кучка железной пыли
ic2:dust:22, Небольшая кучка лазуритовой пыли
ic2:dust:23, Небольшая кучка свинцовой пыли
ic2:dust:24, Небольшая кучка литиевой пыли
ic2:dust:25, Небольшая кучка обсидиановой пыли
ic2:dust:26, Небольшая кучка серебряной пыли
ic2:dust:27, Небольшая кучка серной пыли
ic2:dust:28, Небольшая кучка оловянной пыли
ic2:dust:29, Гидратированная оловянная пыль
ic2:dust:30, Netherrack Dust
ic2:dust:31, Ender Pearl Dust
ic2:dust:32, Ender Eye Dust
ic2:dust:33, Milk Powder
ic2:dust:34, Emerald Dust
ic2:dust:35, Tiny Pile of Emerald Dust
ic2:dust:36, Tiny Pile of Diamond Dust
ic2:ingot:0, Композитный слиток
ic2:ingot:1, Бронзовый слиток
ic2:ingot:2, Медный слиток
ic2:ingot:3, Свинцовый слиток
ic2:ingot:4, Серебряный слиток
ic2:ingot:5, Стальной слиток
ic2:ingot:6, Оловянный слиток
ic2:plate:0, Бронзовая пластина
ic2:plate:1, Медная пластина
ic2:plate:2, Золотая пластина
ic2:plate:3, Железная пластина
ic2:plate:4, Лазуритовая пластина
ic2:plate:5, Свинцовая пластина
ic2:plate:6, Обсидиановая пластина
ic2:plate:7, Стальная пластина
ic2:plate:8, Оловянная пластина
ic2:plate:9, Плотная бронзовая пластина
ic2:plate:10, Плотная медная пластина
ic2:plate:11, Плотная золотая пластина
ic2:plate:12, Плотная железная пластина
ic2:plate:13, Плотная лазуритовая пластина
ic2:plate:14, Плотная свинцовая пластина
ic2:plate:15, Плотная обсидиановая пластина
ic2:plate:16, Плотная стальная пластина
ic2:plate:17, Плотная оловянная пластина
ic2:casing:0, Бронзовая оболочка
ic2:casing:1, Медная оболочка
ic2:casing:2, Золотая оболочка
ic2:casing:3, Железная оболочка
ic2:casing:4, Свинцовая оболочка
ic2:casing:5, Стальная оболочка
ic2:casing:6, Оловянная оболочка
ic2:nuclear:0, Обогащённое урановое ядерное топливо
ic2:nuclear:1, Уран-235
ic2:nuclear:2, Уран-238
ic2:nuclear:3, Плутоний
ic2:nuclear:4, Ядерное топливо MOX
ic2:nuclear:5, Кусочек урана-235
ic2:nuclear:6, Кусочек урана-238
ic2:nuclear:7, Кусочек плутония
ic2:nuclear:8, Пеллеты обогащённого уранового ядерного топлива
ic2:nuclear:9, Пеллеты ядерного топлива MOX
ic2:nuclear:10, Пеллета РИТЭГ-топлива
ic2:nuclear:11, Топливный стержень (Обеднённый уран)
ic2:nuclear:12, Сдвоенный топливный стержень (Обеднённый уран)
ic2:nuclear:13, Счетверённый топливный стержень (Обеднённый уран)
ic2:nuclear:14, Топливный стержень (Обеднённый MOX)
ic2:nuclear:15, Сдвоенный топливный стержень (Обеднённый MOX)
ic2:nuclear:16, Счетверённый топливный стержень (Обеднённый MOX)
ic2:misc_resource:0, Пепел
ic2:misc_resource:1, Иридиевая руда
ic2:misc_resource:2, Осколок иридия
ic2:misc_resource:3, Материя
ic2:misc_resource:4, Латекс
ic2:misc_resource:5, Шлак
ic2:misc_resource:6, Иод
ic2:misc_resource:7, Вода
ic2:misc_resource:8, Лава
ic2:crafting:0, Резина
ic2:crafting:1, Электросхема
ic2:crafting:2, Улучшенная электросхема
ic2:crafting:3, Композит
ic2:crafting:4, Укреплённая иридиевая пластина
ic2:crafting:5, Катушка
ic2:crafting:6, Электромотор
ic2:crafting:7, Теплопровод
ic2:crafting:8, Медный нагреватель
ic2:crafting:9, Топливный стержень (Пустой)
ic2:crafting:10, Консервная банка
ic2:crafting:11, Малый силовой агрегат
ic2:crafting:12, Силовой агрегат
ic2:crafting:13, Углеволокно
ic2:crafting:14, Углеткань
ic2:crafting:15, Углепластик
ic2:crafting:16, Угольный шарик
ic2:crafting:17, Сжатый угольный шарик
ic2:crafting:18, Угольная глыба
ic2:crafting:19, Промышленный алмаз
ic2:crafting:20, Биомасса
ic2:crafting:21, Отходы
ic2:crafting:23, Утильсырьё
ic2:crafting:24, Коробка утильсырья
ic2:crafting:25, Строительный порошок
ic2:crafting:27, Необработанный кристалл памяти
ic2:crafting:29, Железный стержень
ic2:crafting:30, Стальной стержень
ic2:crafting:31, Деревянная лопасть ротора
ic2:crafting:32, Железная лопасть ротора
ic2:crafting:33, Стальная лопасть ротора
ic2:crafting:34, Углеволоконная лопасть ротора
ic2:crafting:35, Лопасть паровой турбины
ic2:crafting:36, Паровая турбина
ic2:crafting:37, Крепёж для реактивного ранца
ic2:crafting:38, Промышленная монета
ic2:crafting:41, Бронзовая лопасть ротора
ic2:crafting:42, Бронзовый стержень
ic2:block_cutting_blade:0, Железный режущий диск
ic2:block_cutting_blade:1, Стальной режущий диск
ic2:block_cutting_blade:2, Алмазный режущий диск
ic2:upgrade_kit:0, Набор улучшения МФСУ
ic2:crop_stick, ic2.crop_stick.name
ic2:crop_res:0, Кофейные зёрна
ic2:crop_res:1, Молотый кофе
ic2:crop_res:2, Удобрение
ic2:crop_res:3, Токсичная пыль
ic2:crop_res:4, Хмель
ic2:crop_res:5, Сорняк
ic2:crop_res:6, Milk Wart
ic2:crop_res:7, Oil Berry
ic2:crop_res:8, Bobs-Yer-Uncle-Ranks Berry
ic2:terra_wart, ic2.terra_wart.name
ic2:cropnalyzer, ic2.cropnalyzer.name
ic2:re_battery, ic2.re_battery.name
ic2:advanced_re_battery, ic2.advanced_re_battery.name
ic2:energy_crystal, ic2.energy_crystal.name
ic2:lapotron_crystal, ic2.lapotron_crystal.name
ic2:single_use_battery, ic2.single_use_battery.name
ic2:charging_re_battery, ic2.charging_re_battery.name
ic2:advanced_charging_re_battery, ic2.advanced_charging_re_battery.name
ic2:charging_energy_crystal, ic2.charging_energy_crystal.name
ic2:charging_lapotron_crystal, ic2.charging_lapotron_crystal.name
ic2:heat_storage, ic2.heat_storage.name
ic2:tri_heat_storage, ic2.tri_heat_storage.name
ic2:hex_heat_storage, ic2.hex_heat_storage.name
ic2:plating, ic2.plating.name
ic2:heat_plating, ic2.heat_plating.name
ic2:containment_plating, ic2.containment_plating.name
ic2:heat_exchanger, ic2.heat_exchanger.name
ic2:reactor_heat_exchanger, ic2.reactor_heat_exchanger.name
ic2:component_heat_exchanger, ic2.component_heat_exchanger.name
ic2:advanced_heat_exchanger, ic2.advanced_heat_exchanger.name
ic2:heat_vent, ic2.heat_vent.name
ic2:reactor_heat_vent, ic2.reactor_heat_vent.name
ic2:overclocked_heat_vent, ic2.overclocked_heat_vent.name
ic2:component_heat_vent, ic2.component_heat_vent.name
ic2:advanced_heat_vent, ic2.advanced_heat_vent.name
ic2:neutron_reflector, ic2.neutron_reflector.name
ic2:thick_neutron_reflector, ic2.thick_neutron_reflector.name
ic2:iridium_reflector, ic2.iridium_reflector.name
ic2:rsh_condensator, ic2.rsh_condensator.name
ic2:lzh_condensator, ic2.lzh_condensator.name
ic2:heatpack, ic2.heatpack.name
ic2:uranium_fuel_rod, ic2.uranium_fuel_rod.name
ic2:dual_uranium_fuel_rod, ic2.dual_uranium_fuel_rod.name
ic2:quad_uranium_fuel_rod, ic2.quad_uranium_fuel_rod.name
ic2:mox_fuel_rod, ic2.mox_fuel_rod.name
ic2:dual_mox_fuel_rod, ic2.dual_mox_fuel_rod.name
ic2:quad_mox_fuel_rod, ic2.quad_mox_fuel_rod.name
ic2:lithium_fuel_rod, ic2.lithium_fuel_rod.name
ic2:depleted_isotope_fuel_rod, ic2.depleted_isotope_fuel_rod.name
ic2:tfbp:0, Террачип
ic2:tfbp:1, Террачип "Охлаждение"
ic2:tfbp:2, Террачип "Озеленение"
ic2:tfbp:3, Террачип "Опустынивание"
ic2:tfbp:4, Террачип "Выравнивание"
ic2:tfbp:5, Террачип "Орошение"
ic2:tfbp:6, Террачип "Грибы"
ic2:bronze_axe, ic2.bronze_axe.name
ic2:bronze_hoe, ic2.bronze_hoe.name
ic2:bronze_pickaxe, ic2.bronze_pickaxe.name
ic2:bronze_shovel, ic2.bronze_shovel.name
ic2:bronze_sword, ic2.bronze_sword.name
ic2:cutter, ic2.cutter.name
ic2:debug_item, ic2.debug_item.name
ic2:foam_sprayer:0, Распылитель строительной пены
ic2:foam_sprayer:0, Распылитель строительной пены
ic2:forge_hammer, ic2.forge_hammer.name
ic2:frequency_transmitter, ic2.frequency_transmitter.name
ic2:meter, ic2.meter.name
ic2:tool_box, ic2.tool_box.name
ic2:treetap, ic2.treetap.name
ic2:wrench, ic2.wrench.name
ic2:wrench_new, ic2.wrench_new.name
ic2:crowbar, ic2.crowbar.name
ic2:containment_box, ic2.containment_box.name
ic2:weeding_trowel, ic2.weeding_trowel.name
ic2:crop_seed_bag, ic2.crop_seed_bag.name
ic2:advanced_scanner, ic2.advanced_scanner.name
ic2:chainsaw, ic2.chainsaw.name
ic2:diamond_drill, ic2.diamond_drill.name
ic2:drill, ic2.drill.name
ic2:electric_hoe, ic2.electric_hoe.name
ic2:electric_treetap, ic2.electric_treetap.name
ic2:electric_wrench, ic2.electric_wrench.name
ic2:iridium_drill, ic2.iridium_drill.name
ic2:mining_laser, ic2.mining_laser.name
ic2:nano_saber, ic2.nano_saber.name
ic2:obscurator, ic2.obscurator.name
ic2:scanner, ic2.scanner.name
ic2:wind_meter, ic2.wind_meter.name
ic2:painter:0, Валик
ic2:painter:0, Чёрный валик
ic2:painter:0, Синий валик
ic2:painter:0, Коричневый валик
ic2:painter:0, Бирюзовый валик
ic2:painter:0, Тёмно-серый валик
ic2:painter:0, Зелёный валик
ic2:painter:0, Голубой валик
ic2:painter:0, Светло-серый валик
ic2:painter:0, Лаймовый валик
ic2:painter:0, Сиреневый валик
ic2:painter:0, Оранжевый валик
ic2:painter:0, Розовый валик
ic2:painter:0, Фиолетовый валик
ic2:painter:0, Красный валик
ic2:painter:0, Белый валик
ic2:painter:0, Жёлтый валик
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:cable:0, Медный провод
ic2:cable:0, Изолированный медный провод
ic2:cable:1, Стекловолоконный провод
ic2:cable:2, Золотой провод
ic2:cable:2, Изолированный золотой провод
ic2:cable:2, Золотой провод с двойной изоляцией
ic2:cable:3, Высоковольтный провод
ic2:cable:3, Изолированный высоковольтный провод
ic2:cable:3, Высоковольтный провод с двойной изоляцией
ic2:cable:3, Высоковольтный провод с тройной изоляцией
ic2:cable:4, Оловянный провод
ic2:cable:4, Изолированный оловянный провод
ic2:cable:5, Провод-детектор
ic2:cable:6, Провод-разъединитель
ic2:upgrade:0, Улучшение "Ускоритель"
ic2:upgrade:1, Улучшение "Трансформатор"
ic2:upgrade:2, Улучшение "Энергохранитель"
ic2:upgrade:3, Улучшение "Инвертор сигнала красного камня"
ic2:upgrade:4, Улучшение "Выталкиватель"
ic2:upgrade:5, Улучшение "Улучшенный выталкиватель"
ic2:upgrade:6, Улучшение "Затягиватель"
ic2:upgrade:7, Улучшение "Улучшенный затягиватель"
ic2:upgrade:8, Улучшение "Выталкиватель жидкостей"
ic2:upgrade:9, Улучшение "Затягиватель жидкостей"
ic2:upgrade:10, Remote Interface Upgrade
ic2:filled_tin_can, ic2.filled_tin_can.name
ic2:filled_fuel_can, ic2.filled_fuel_can.name
ic2:iodine_tablet, ic2.iodine_tablet.name
ic2:crystal_memory, ic2.crystal_memory.name
ic2:rotor_wood, ic2.rotor_wood.name
ic2:rotor_bronze, ic2.rotor_bronze.name
ic2:rotor_iron, ic2.rotor_iron.name
ic2:rotor_steel, ic2.rotor_steel.name
ic2:rotor_carbon, ic2.rotor_carbon.name
ic2:dynamite, ic2.dynamite.name
ic2:dynamite_sticky, ic2.dynamite_sticky.name
ic2:remote, ic2.remote.name
ic2:pipe:0, Тонкая бронзовая труба
ic2:pipe:0, Малая бронзовая труба
ic2:pipe:0, Средняя бронзовая труба
ic2:pipe:0, Большая бронзовая труба
ic2:pipe:1, Тонкая стальная труба
ic2:pipe:1, Малая стальная труба
ic2:pipe:1, Средняя стальная труба
ic2:pipe:1, Большая стальная труба
ic2:cover:0, Накладной насос низкого напряжения
ic2:cover:1, Накладной насос среднего напряжения
ic2:coke, ic2.coke.name
industrialupgrade:fluidneutron, iu.fluidNeutron.name
industrialupgrade:fluidhelium, iu.fluidHelium.name
industrialupgrade:fluidbenz, iu.fluidbenz.name
industrialupgrade:fluiddizel, iu.fluiddizel.name
industrialupgrade:fluidneft, iu.fluidneft.name
industrialupgrade:fluidpolyeth, iu.fluidpolyeth.name
industrialupgrade:fluidpolyprop, iu.fluidpolyprop.name
industrialupgrade:fluidoxy, iu.fluidoxy.name
industrialupgrade:fluidhyd, iu.fluidhyd.name
industrialupgrade:fluidazot, iu.fluidazot.name
industrialupgrade:fluidco2, iu.fluidco2.name
industrialupgrade:rotors_upgrade:0, Роторный модуль: Прочность I
industrialupgrade:rotors_upgrade:1, Роторный модуль: Прочность II
industrialupgrade:rotors_upgrade:2, Роторный модуль: Прочность III
industrialupgrade:rotors_upgrade:3, Роторный модуль: Эффективность I
industrialupgrade:rotors_upgrade:4, Роторный модуль: Эффективность II
industrialupgrade:rotors_upgrade:5, Роторный модуль: Эффективность III
industrialupgrade:rotors_upgrade:6, Роторный модуль: Сила I
industrialupgrade:rotors_upgrade:7, Роторный модуль: Сила II
industrialupgrade:rotors_upgrade:8, Роторный модуль: Сила III
industrialupgrade:rotors_upgrade:9, Роторный модуль: Поворотный механизм
industrialupgrade:rotors_upgrade:10, Роторный модуль: Высота
industrialupgrade:rotors_upgrade:11, Роторный модуль: Скорость ветра I
industrialupgrade:rotors_upgrade:12, Роторный модуль: Скорость ветра II
industrialupgrade:rotors_upgrade:13, Роторный модуль: Скорость ветра III
industrialupgrade:rotors_upgrade:14, Роторный модуль: Уровень ветра I
industrialupgrade:rotors_upgrade:15, Роторный модуль: Уровень ветра II
industrialupgrade:rotors_upgrade:16, Роторный модуль: Уровень ветра III
industrialupgrade:rotors_upgrade:17, Роторный модуль: Автопочинка I
industrialupgrade:rotors_upgrade:18, Роторный модуль: Автопочинка II
industrialupgrade:rotors_upgrade:19, Роторный модуль: Автопочинка III
industrialupgrade:water_rotors_upgrade:0, Модуль водяного ротора: Прочность I
industrialupgrade:water_rotors_upgrade:1, Модуль водяного ротора: Прочность II
industrialupgrade:water_rotors_upgrade:2, Модуль водяного ротора: Прочность III
industrialupgrade:water_rotors_upgrade:3, Модуль водяного ротора: Эффективность I
industrialupgrade:water_rotors_upgrade:4, Модуль водяного ротора: Эффективность II
industrialupgrade:water_rotors_upgrade:5, Модуль водяного ротора: Эффективность III
industrialupgrade:water_rotors_upgrade:6, Модуль водяного ротора: Сила I
industrialupgrade:water_rotors_upgrade:7, Модуль водяного ротора: Сила II
industrialupgrade:water_rotors_upgrade:8, Модуль водяного ротора: Сила III
industrialupgrade:water_rotors_upgrade:9, Модуль водяного ротора: Поворотный механизм
industrialupgrade:water_rotors_upgrade:10, Модуль водяного ротора: Скорость течения I
industrialupgrade:water_rotors_upgrade:11, Модуль водяного ротора: Скорость течения II
industrialupgrade:water_rotors_upgrade:12, Модуль водяного ротора: Скорость течения III
industrialupgrade:water_rotors_upgrade:13, Модуль водяного ротора: Автопочинка I
industrialupgrade:water_rotors_upgrade:14, Модуль водяного ротора: Автопочинка II
industrialupgrade:water_rotors_upgrade:15, Модуль водяного ротора: Автопочинка III
industrialupgrade:water_rotors_upgrade:16, Модуль водяного ротора: Океан
industrialupgrade:waterrod:0, Деревянная лопасть водяного ротора
industrialupgrade:waterrod:1, Бронзовая лопасть водяного ротора
industrialupgrade:waterrod:2, Железная лопасть водяного ротора
industrialupgrade:waterrod:3, Стальная лопасть водяного ротора
industrialupgrade:waterrod:4, Углеволоконная лопасть водяного ротора
industrialupgrade:waterrod:5, Иридиевая лопасть водяного ротора
industrialupgrade:waterrod:6, Сжатая иридиевая лопасть водяного ротора
industrialupgrade:waterrod:7, Спектральная лопасть водяного ротора
industrialupgrade:waterrod:8, Мистическая лопасть водяного ротора
industrialupgrade:waterrod:9, Фотонная лопасть водяного ротора
industrialupgrade:waterrod:10, Нейтронная лопасть водяного ротора
industrialupgrade:waterrod:11, Барионная лопасть водяного ротора
industrialupgrade:waterrod:12, Адронная лопасть водяного ротора
industrialupgrade:waterrod:13, Ультрамариновая лопасть водяного ротора
industrialupgrade:limiter, iu.limiter_item.name.name
industrialupgrade:excitednucleus:0, Возбуждённое улучшенное ядро
industrialupgrade:excitednucleus:1, Возбуждённое гибридное ядро
industrialupgrade:excitednucleus:2, Возбуждённое совершенное ядро
industrialupgrade:excitednucleus:3, Возбуждённое квантовое ядро
industrialupgrade:excitednucleus:4, Возбуждённое спектральное ядро
industrialupgrade:excitednucleus:5, Возбуждённое протонное ядро
industrialupgrade:excitednucleus:6, Возбуждённое сингулярное ядро
industrialupgrade:excitednucleus:7, Возбуждённое дифракционное ядро
industrialupgrade:excitednucleus:8, Возбуждённое фотонное ядро
industrialupgrade:excitednucleus:9, Возбуждённое нейтронное ядро
industrialupgrade:excitednucleus:10, Возбуждённое барионное ядро
industrialupgrade:excitednucleus:11, Возбуждённое адронное ядро
industrialupgrade:excitednucleus:12, Возбуждённое гравитонное ядро
industrialupgrade:excitednucleus:13, Возбуждённое кварковое ядро
industrialupgrade:templates:0, Шаблон схемы
industrialupgrade:crafting_elements:0, Антирадиационная ткань
industrialupgrade:crafting_elements:1, Улучшенный датчик: Пресс
industrialupgrade:crafting_elements:2, Улучшенный датчик: Дробитель
industrialupgrade:crafting_elements:3, Улучшенный датчик: Ветер
industrialupgrade:crafting_elements:4, Улучшенный датчик: Вода
industrialupgrade:crafting_elements:5, Улучшенный датчик: Геотермальный
industrialupgrade:crafting_elements:6, Улучшенный датчик: Жидкость
industrialupgrade:crafting_elements:7, Улучшенный датчик: Остаточные продукты реактора
industrialupgrade:crafting_elements:8, Улучшенный датчик: Пар
industrialupgrade:crafting_elements:9, Улучшенный датчик: Переработки
industrialupgrade:crafting_elements:10, Улучшенный датчик: Преобразователь
industrialupgrade:crafting_elements:11, Датчик: Генератор
industrialupgrade:crafting_elements:12, Улучшенный датчик: Промывание руд
industrialupgrade:crafting_elements:13, Улучшенный датчик: Радиация
industrialupgrade:crafting_elements:14, Улучшенный датчик: Температура реактора
